,mean,std
AAPL,[0.00492051],[0.03873141]
ABBV,[0.00368284],[0.03775041]
ABT,[0.00280131],[0.03329611]
ACN,[0.00272909],[0.03416976]
ADBE,[0.00317659],[0.04517942]
ADI,[0.00341462],[0.03853376]
ADP,[0.0032748],[0.03321312]
AMAT,[0.00495067],[0.05647612]
AMD,[0.00836569],[0.07775221]
AMGN,[0.00217034],[0.03392533]
AMZN,[0.00399655],[0.04288221]
ANET,[0.00634017],[0.05819989]
AVGO,[0.00632428],[0.04949756]
AXP,[0.00337824],[0.04391714]
BA,[0.00090883],[0.06741125]
BAC,[0.00263274],[0.04358273]
BKNG,[0.00302418],[0.04555545]
BLK,[0.00291828],[0.03845996]
BMY,[0.00054035],[0.03495447]
BSX,[0.00375558],[0.03483341]
BX,[0.00470714],[0.05077374]
C,[0.00153604],[0.04682029]
CAT,[0.00407288],[0.04148462]
CB,[0.00246456],[0.03199514]
CMCSA,[0.00106874],[0.03332076]
COP,[0.00243429],[0.05283809]
COST,[0.00418778],[0.03161393]
CRM,[0.00288867],[0.04747864]
CSCO,[0.00250708],[0.03248075]
CVX,[0.00233295],[0.04025956]
DE,[0.00430171],[0.04331106]
DHR,[0.0004735],[0.05517693]
DIS,[0.00015558],[0.0377314]
ETN,[0.00435307],[0.03776644]
FI,[0.00345263],[0.03286848]
GE,[2.50067957e-05],[0.05038315]
GILD,[0.00093454],[0.03506943]
GOOG,[0.00330311],[0.03854177]
GOOGL,[0.00322497],[0.03848882]
GS,[0.00305519],[0.04307721]
HD,[0.00270184],[0.03764613]
HON,[0.00213576],[0.03283962]
IBM,[0.00219167],[0.03444648]
ICE,[0.00292801],[0.03054409]
INTC,[-5.6617614e-05],[0.05096666]
INTU,[0.00415351],[0.04195688]
ISRG,[0.00452138],[0.04354562]
JNJ,[0.00163931],[0.02458629]
JPM,[0.00355289],[0.03697438]
KKR,[0.00490683],[0.05125702]
KO,[0.00170443],[0.02706906]
LLY,[0.0053512],[0.03912529]
LMT,[0.00211105],[0.03311749]
LOW,[0.00285457],[0.04411921]
LRCX,[0.00537348],[0.05974591]
MA,[0.0039372],[0.03448848]
MCD,[0.00256742],[0.02807381]
MDT,[0.00088968],[0.03173066]
META,[0.00389119],[0.05068285]
MMC,[0.00350199],[0.02898806]
MRK,[0.00188606],[0.02957204]
MS,[0.00364784],[0.04332142]
MSFT,[0.00458075],[0.03251879]
MU,[0.0042444],[0.06187063]
NEE,[0.00262226],[0.03545857]
NFLX,[0.00461284],[0.06025261]
NKE,[0.00054067],[0.04249281]
NOW,[0.00505453],[0.05090926]
NVDA,[0.01090468],[0.06497782]
ORCL,[0.00346725],[0.03668283]
PANW,[0.00408028],[0.05391208]
PEP,[0.00144299],[0.02587968]
PFE,[0.00045795],[0.03249954]
PG,[0.00223052],[0.02456982]
PGR,[0.00523682],[0.03212495]
PLD,[0.00263521],[0.03883109]
PM,[0.00218898],[0.03529387]
QCOM,[0.00321574],[0.05119942]
RTX,[-0.00018938],[0.07419806]
SBUX,[0.00154307],[0.03937656]
SCHW,[0.0023797],[0.048748]
SPGI,[0.00388239],[0.0329254]
SYK,[0.00329816],[0.0358193]
T,[0.00070502],[0.03306064]
TJX,[0.00294431],[0.03864383]
TMO,[0.00294711],[0.03314253]
TMUS,[0.00405879],[0.03356481]
TSLA,[0.00615041],[0.08510979]
TXN,[0.0032526],[0.03427823]
UNH,[0.00360941],[0.03915125]
UNP,[0.00290643],[0.03428639]
V,[0.00340877],[0.03054807]
VRTX,[0.00324213],[0.04284542]
VZ,[0.00094984],[0.02797305]
WFC,[0.00138389],[0.0443717]
WMT,[0.00337602],[0.02920434]
XOM,[0.00181521],[0.03924131]
